ID,Name,Team,Pos,Price,1_Pts,1_xMin,2_Pts,2_xMin,3_Pts,3_xMin,4_Pts,4_xMin,5_Pts,5_xMin,6_Pts,6_xMin,7_Pts,7_xMin,8_Pts,8_xMin
36,Emerson Palmieri,WHU,D,4.5,3.96,90,1.98,0,2.73,90,2.87,90,4.66,90,3.3,90,2.89,90,4.52,90
37,Lewis Dunk,BHA,D,4.5,2.01,90,3.22,90,3.11,90,3.22,90,3.72,90,1.77,90,1.95,90,1.99,90
38,Pervis Estupiñán,BHA,D,5.0,2.14,90,4.64,90,3.84,90,2.17,0,2.09,90,2.12,0,1.92,90,2.22,90
39,Jan Paul van Hecke,BHA,D,4.0,3.26,90,1.64,90,3.7,0,4.56,90,1.71,90,4.32,90,2.15,90,2.8,90
40,Diogo Dalot,MUN,D,5.0,3.66,90,3.12,90,1.63,90,4.0,90,3.29,90,1.88,90,3.36,90,2.44,90
41,Lisandro Martínez,MUN,D,4.5,1.57,90,2.24,90,1.92,90,3.58,90,4.26,90,1.8,90,3.55,90,3.01,90
42,Harry Maguire,MUN,D,4.5,2.49,90,3.76,90,2.75,90,3.62,90,1.86,90,2.36,90,2.15,90,2.11,90
43,Marc Guéhi,CRY,D,4.5,1.78,90,2.94,90,1.89,90,4.89,90,4.36,90,2.1,90,4.75,90,3.5,90
44,Tyrick Mitchell,CRY,D,4.5,4.19,90,2.63,90,3.28,90,1.9,90,2.51,90,2.04,90,3.36,0,2.68,90
45,Joachim Andersen,CRY,D,4.5,1.72,90,2.63,90,2.39,90,4.16,90,3.15,90,2.72,90,4.41,90,1.94,90
46,Murillo,NFO,D,4.5,4.78,90,1.73,90,3.51,90,1.99,90,2.21,90,2.07,90,3.83,90,2.76,90
47,Ola Aina,NFO,D,4.0,2.87,90,3.04,90,3.12,90,4.12,90,2.31,90,2.84,90,4.67,90,1.91,90
48,Nico Williams,NFO,D,4.0,3.7,90,1.99,90,3.67,90,4.63,90,2.03,90,2.37,90,1.62,90,4.17,90
49,Ethan Pinnock,BRE,D,4.5,2.7,90,1.89,90,1.95,90,4.29,90,2.3,90,4.02,90,3.93,90,2.38,90
50,Nathan Collins,BRE,D,4.5,2.14,90,3.54,90,3.12,90,2.04,90,3.27,90,1.56,90,4.76,90,3.94,90
51,Rico Henry,BRE,D,4.5,3.98,90,3.52,90,2.98,90,4.77,90,3.08,90,4.95,90,1.94,90,4.54,90
52,Bukayo Saka,ARS,M,10.0,5.25,90,2.3,90,6.42,0,3.83,90,4.96,90,3.9,90,6.06,90,3.24,90
53,Martin Ødegaard,ARS,M,8.5,2.77,90,4.74,90,7.03,90,5.19,90,2.07,90,2.98,90,2.82,90,2.47,90
54,Declan Rice,ARS,M,6.5,4.76,90,2.37,90,3.15,90,3.13,90,2.2,90,5.11,0,6.27,90,4.88,90
55,Gabriel Martinelli,ARS,M,7.0,4.2,90,2.85,90,6.74,90,4.05,90,5.54,90,2.14,90,5.94,90,2.15,90
56,Leandro Trossard,ARS,M,6.5,3.27,90,2.11,90,6.4,90,5.59,90,2.55,90,5.97,90,6.57,90,5.67,90
57,Phil Foden,MCI,M,9.5,3.61,90,2.07,0,3.14,0,3.0,90,4.32,90,6.5,90,3.43,90,5.25,90
58,Kevin De Bruyne,MCI,M,9.5,5.43,90,5.04,90,3.62,90,6.2,90,6.78,90,6.92,90,4.34,0,3.48,90
59,Rodri,MCI,M,6.5,5.48,90,2.77,90,7.41,90,2.94,90,2.1,90,2.65,90,3.51,90,5.58,90
60,Bernardo Silva,MCI,M,6.5,3.14,0,2.75,90,6.81,90,5.3,90,2.96,90,4.3,90,4.85,0,2.91,90
61,Jack Grealish,MCI,M,6.0,2.46,90,3.35,90,3.59,90,5.95,90,5.12,90,5.65,90,6.03,90,2.17,90
62,Mohamed Salah,LIV,M,12.5,5.27,0,4.73,90,3.84,90,2.59,0,6.01,90,5.79,90,3.36,90,6.4,90
63,Dominik Szoboszlai,LIV,M,6.5,3.5,90,3.99,0,7.05,90,7.23,90,3.02,90,6.8,90,6.44,90,5.81,90
64,Alexis Mac Allister,LIV,M,6.5,3.37,90,3.22,90,7.19,0,5.88,90,2.99,90,7.04,0,5.84,90,7.08,90
65,Luis Díaz,LIV,M,7.5,7.19,90,6.74,90,3.76,90,2.2,90,3.27,90,2.42,90,3.87,90,2.36,90
66,Diogo Jota,LIV,M,7.5,4.97,90,3.75,90,6.87,90,3.28,0,6.79,0,6.81,90,7.16,90,7.49,90
67,Son Heung-min,TOT,M,9.5,6.22,90,4.64,90,6.81,90,6.23,90,4.32,90,3.31,90,3.95,90,3.63,90
68,James Maddison,TOT,M,7.5,2.23,0,7.43,90,4.11,90,3.2,90,6.32,0,4.3,90,7.2,90,5.37,90
69,Dejan Kulusevski,TOT,M,6.5,7.45,90,7.19,90,5.34,90,3.27,90,3.21,90,6.29,90,2.32,90,6.86,90
70,Cole Palmer,CHE,M,10.5,7.47,90,4.18,90,5.83,90,6.49,90,3.23,90,5.26,90,2.5,90,3.46,90
71,Christopher Nkunku,CHE,M,6.5,6.89,90,6.74,90,5.6,90,2.48,90,4.05,90,5.98,90,2.45,90,5.76,0
72,Enzo Fernández,CHE,M,5.0,6.68,90,4.64,90,6.54,90,5.73,90,3.47,90,6.39,90,6.68,90,5.9,90
73,Pedro Neto,CHE,M,6.0,5.84,90,5.4,90,2.87,90,6.8,0,6.54,90,3.84,90,2.88,90,6.58,90
74,Anthony Gordon,NEW,M,7.5,2.04,90,5.39,90,5.47,90,5.49,90,6.29,90,6.19,90,7.3,90,5.48,90
75,Bruno Guimarães,NEW,M,6.5,2.56,90,5.78,0,3.66,90,2.37,90,3.9,90,2.25,90,7.35,90,6.12,90
76,Harvey Barnes,NEW,M,6.2,6.17,0,2.12,90,4.69,90,5.76,90,3.5,90,4.34,90,2.9,90,5.82,90
77,Jarrod Bowen,WHU,M,7.5,2.45,90,5.6,90,7.23,90,4.38,90,4.31,90,4.19,90,7.41,90,6.92,90
78,Mohammed Kudus,WHU,M,6.5,3.17,0,5.58,90,6.75,90,7.33,90,6.78,90,6.24,90,6.19,90,2.72,0
79,Lucas Paquetá,WHU,M,6.0,7.06,90,6.38,90,2.65,90,5.77,90,3.1,90,2.35,90,3.48,90,3.71,90
80,Kaoru Mitoma,BHA,M,6.5,2.06,0,4.16,90,5.3,90,5.82,90,6.29,0,4.64,90,3.33,90,2.78,90
81,Yankuba Minteh,BHA,M,5.5,5.4,90,5.08,0,3.8,90,2.48,90,2.18,0,4.18,90,5.12,90,6.4,90
82,Bruno Fernandes,MUN,M,8.0,2.92,90,5.5,90,2.17,90,2.29,90,5.9,90,5.93,90,3.87,90,2.44,90
83,Alejandro Garnacho,MUN,M,6.5,5.01,90,4.49,90,4.9,90,2.45,0,3.36,90,6.79,90,7.37,90,3.0,90
84,Marcus Rashford,MUN,M,7.0,5.62,90,5.05,90,3.26,90,7.36,90,3.1,90,2.4,0,3.42,90,6.78,90
85,Eberechi Eze,CRY,M,7.0,6.08,90,3.9,90,7.43,0,6.77,90,4.41,90,4.68,90,6.95,90,3.52,90
86,Michael Olise,CRY,M,7.0,7.02,90,5.43,90,6.03,90,5.94,90,2.99,90,7.34,90,6.7,90,3.36,90
87,Ismaïla Sarr,CRY,M,5.5,4.45,90,3.98,90,2.9,90,7.33,90,5.61,90,6.25,90,7.33,90,3.3,0
88,Morgan Gibbs-White,NFO,M,6.5,2.93,90,3.85,90,4.37,90,5.39,90,2.92,90,2.2,90,5.65,90,6.64,90
89,Callum Hudson-Odoi,NFO,M,5.0,5.22,90,3.13,90,3.48,0,4.92,90,2.22,90,4.49,90,3.74,90,2.23,90
90,Anthony Elanga,NFO,M,5.0,7.43,90,2.03,90,5.52,90,4.5,90,4.69,90,2.77,0,3.69,90,3.11,90
91,Bryan Mbeumo,BRE,M,7.5,7.33,0,5.7,90,6.77,90,5.81,90,7.2,90,4.73,90,6.78,90,2.17,90
92,Yoane Wissa,BRE,M,6.0,5.79,90,3.19,90,4.17,90,2.59,90,7.5,0,7.37,90,6.79,90,5.12,90
93,Mikkel Damsgaard,BRE,M,5.0,6.83,90,3.8,90,6.44,90,6.39,90,6.5,90,4.99,0,3.79,90,4.18,90
94,Erling Haaland,MCI,F,15.0,4.14,90,3.31,90,3.25,0,5.32,90,5.41,90,4.09,90,4.85,90,2.14,90
95,Alexander Isak,NEW,F,8.5,4.09,90,5.19,90,5.34,90,6.47,90,7.26,0,3.08,0,5.56,90,3.34,90
96,Ollie Watkins,AVL,F,9.0,2.33,90,3.93,90,4.67,90,3.57,90,6.42,90,3.71,90,5.94,90,4.27,90
97,Nicolas Jackson,CHE,F,7.5,3.0,90,3.0,90,5.9,90,5.12,90,7.3,90,6.43,90,2.24,90,7.23,90
98,Dominic Solanke,TOT,F,7.5,6.51,90,3.25,90,5.36,90,6.62,90,3.94,90,6.29,90,6.52,90,5.67,0
99,Kai Havertz,ARS,F,8.0,5.43,90,5.23,90,6.05,90,3.19,0,2.13,90,5.34,90,3.28,90,5.27,90
100,Darwin Núñez,LIV,F,7.5,7.43,90,5.82,90,4.36,90,5.81,90,2.71,90,5.98,90,3.51,0,2.47,90
101,Jean-Philippe Mateta,CRY,F,7.5,3.06,90,3.25,90,2.38,90,2.37,90,3.29,90,6.84,90,4.93,90,3.83,90
102,Chris Wood,NFO,F,6.0,7.47,90,5.07,90,4.56,0,5.09,90,2.96,90,3.11,90,2.53,90,6.16,90
103,Liam Delap,IPS,F,5.5,5.66,90,7.1,90,4.2,90,7.46,90,4.97,90,4.87,90,2.49,90,2.7,90
104,Danny Ings,WHU,F,5.5,6.3,90,2.2,90,3.45,90,2.48,90,5.05,90,4.18,90,5.3,90,7.06,90
105,Raúl Jiménez,FUL,F,5.5,7.46,90,3.15,90,2.64,90,4.09,90,6.77,90,6.35,90,2.45,90,2.95,90
106,Dominic Calvert-Lewin,EVE,F,6.0,3.9,90,5.53,90,2.73,90,7.08,90,5.33,90,2.96,90,4.19,90,4.02,0
107,Beto,EVE,F,5.0,2.14,90,7.3,90,7.31,90,3.71,90,4.42,90,5.52,90,5.41,90,2.84,0
108,Evan Ferguson,BHA,F,5.5,6.29,90,2.32,90,2.32,90,7.41,90,2.78,90,3.67,90,5.81,0,4.8,90
